title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
De reis van Chihiro ,2001,"
                        2h 5min
                    ","
Animation; 
Adventure; 
Family
","""Hayao Miyazaki;Kirk Wise""","""Hayao Miyazaki""","""Daveigh Chase;Suzanne Pleshette;Miyu Irino""",8.6,"492,994"
Saving Private Ryan ,1998,"
                        2h 49min
                    ","
Drama; 
War
","""Steven Spielberg""","""Robert Rodat""","""Tom Hanks;Matt Damon;Tom Sizemore""",8.6,"1,006,321"
Interstellar ,2014,"
                        2h 49min
                    ","
Adventure; 
Drama; 
Sci-Fi
","""Christopher Nolan""","""Jonathan Nolan;Christopher Nolan""","""Matthew McConaughey;Anne Hathaway;Jessica Chastain""",8.6,"1,139,711"
American History X ,1998,"
                        1h 59min
                    ","
Crime; 
Drama
","""Tony Kaye""","""David McKenna""","""Edward Norton;Edward Furlong;Beverly D'Angelo""",8.5,"878,274"
The Green Mile ,1999,"
                        3h 9min
                    ","
Crime; 
Drama; 
Fantasy
","""Frank Darabont""","""Stephen King;Frank Darabont""","""Tom Hanks;Michael Clarke Duncan;David Morse""",8.5,"907,128"
Once Upon a Time in the West ,1968,"
                        2h 44min
                    ","
Western
","""Sergio Leone""","""Sergio Donati;Sergio Leone""","""Henry Fonda;Charles Bronson;Claudia Cardinale""",8.5,"245,739"
Psycho ,1960,"
                        1h 49min
                    ","
Horror; 
Mystery; 
Thriller
","""Alfred Hitchcock""","""Joseph Stefano;Robert Bloch""","""Anthony Perkins;Janet Leigh;Vera Miles""",8.5,"482,445"
City Lights ,1931,"
                        1h 27min
                    ","
Comedy; 
Drama; 
Romance
","""Charles Chaplin""","""Charles Chaplin""","""Charles Chaplin;Virginia Cherrill;Florence Lee""",8.6,"127,661"
Casablanca ,1942,"
                        1h 42min
                    ","
Drama; 
Romance; 
War
","""Michael Curtiz""","""Julius J. Epstein;Philip G. Epstein""","""Humphrey Bogart;Ingrid Bergman;Paul Henreid""",8.5,"434,767"
The Intouchables ,2011,"
                        1h 52min
                    ","
Biography; 
Comedy; 
Drama
","""Olivier Nakache;Éric Toledano""","""Olivier Nakache;Éric Toledano""","""François Cluzet;Omar Sy;Anne Le Ny""",8.6,"600,213"
Modern Times ,1936,"
                        1h 27min
                    ","
Comedy; 
Drama; 
Family
","""Charles Chaplin""","""Charles Chaplin""","""Charles Chaplin;Paulette Goddard;Henry Bergman""",8.5,"167,597"
The Pianist ,2002,"
                        2h 30min
                    ","
Biography; 
Drama; 
Music
","""Roman Polanski""","""Ronald Harwood;Wladyslaw Szpilman""","""Adrien Brody;Thomas Kretschmann;Frank Finlay""",8.5,"575,526"
The Departed ,2006,"
                        2h 31min
                    ","
Crime; 
Drama; 
Thriller
","""Martin Scorsese""","""William Monahan;Alan Mak""","""Leonardo DiCaprio;Matt Damon;Jack Nicholson""",8.5,"985,789"
Indiana Jones and the Raiders of the Lost Ark ,1981,"
                        1h 55min
                    ","
Action; 
Adventure
","""Steven Spielberg""","""Lawrence Kasdan;George Lucas""","""Harrison Ford;Karen Allen;Paul Freeman""",8.5,"741,352"
Terminator 2: Judgment Day ,1991,"
                        2h 17min
                    ","
Action; 
Sci-Fi; 
Thriller
","""James Cameron""","""James Cameron;William Wisher""","""Arnold Schwarzenegger;Linda Hamilton;Edward Furlong""",8.5,"833,010"
Rear Window ,1954,"
                        1h 52min
                    ","
Mystery; 
Thriller
","""Alfred Hitchcock""","""John Michael Hayes;Cornell Woolrich""","""James Stewart;Grace Kelly;Wendell Corey""",8.5,"359,576"
Back to the Future ,1985,"
                        1h 56min
                    ","
Adventure; 
Comedy; 
Sci-Fi
","""Robert Zemeckis""","""Robert Zemeckis;Bob Gale""","""Michael J. Fox;Christopher Lloyd;Lea Thompson""",8.5,"840,883"
Whiplash ,2014,"
                        1h 47min
                    ","
Drama; 
Music
","""Damien Chazelle""","""Damien Chazelle""","""Miles Teller;J.K. Simmons;Melissa Benoist""",8.5,"528,623"
Gladiator ,2000,"
                        2h 35min
                    ","
Action; 
Adventure; 
Drama
","""Ridley Scott""","""David Franzoni;David Franzoni""","""Russell Crowe;Joaquin Phoenix;Connie Nielsen""",8.5,"1,107,965"
